measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Saint Lucia,Both,All ages,All causes,Rate,2019,564426.8277542621,594539.0282820857,536455.4774605344
Incidence,Bahrain,Both,All ages,All causes,Rate,2019,504003.9654851242,539559.3847163053,472860.0030261444
Incidence,Democratic People's Republic of Korea,Both,All ages,All causes,Rate,2019,427196.5393778856,453296.80108697695,405585.94212340034
Incidence,Uganda,Both,All ages,All causes,Rate,2019,637680.0972045164,685257.0862436089,594642.2372633683
Incidence,Timor-Leste,Both,All ages,All causes,Rate,2019,502835.1119454017,539377.5002346591,469009.1689850059
Incidence,Spain,Both,All ages,All causes,Rate,2019,489727.25087871094,519585.74010869046,465225.7881121846
Incidence,Republic of Korea,Both,All ages,All causes,Rate,2019,476657.5349098474,508498.8643823678,449865.6858654497
Incidence,Syrian Arab Republic,Both,All ages,All causes,Rate,2019,523308.6975314049,561449.8831757039,491455.0962925899
Incidence,Pakistan,Both,All ages,All causes,Rate,2019,560544.079186773,594134.4490928703,528492.8552354274
Incidence,San Marino,Both,All ages,All causes,Rate,2019,493090.8116163511,523235.45484692755,466400.491282895
Incidence,Belarus,Both,All ages,All causes,Rate,2019,511858.7055764505,537395.595542713,487220.8630637908
Incidence,Bosnia and Herzegovina,Both,All ages,All causes,Rate,2019,490101.0915200879,515915.3172912019,465734.04819184565
Incidence,Sweden,Both,All ages,All causes,Rate,2019,533969.8829677448,565285.1108877307,507618.7949816649
Incidence,Zambia,Both,All ages,All causes,Rate,2019,623571.4202808274,665317.8275061747,585700.711635736
Incidence,Viet Nam,Both,All ages,All causes,Rate,2019,444090.25826135074,471319.63994432555,420236.9471832401
Incidence,Djibouti,Both,All ages,All causes,Rate,2019,553579.0288594894,590920.9705899727,519536.712445387
Incidence,Sao Tome and Principe,Both,All ages,All causes,Rate,2019,516662.77983736835,550303.0696050315,487834.46214985807
Incidence,Suriname,Both,All ages,All causes,Rate,2019,556639.740092525,587819.8588756977,525782.4192186445
Incidence,Honduras,Both,All ages,All causes,Rate,2019,544843.0408731449,583325.3694188279,510497.9677626807
Incidence,Tokelau,Both,All ages,All causes,Rate,2019,538336.8597736984,570018.025261998,506360.63466646697
Incidence,Saint Vincent and the Grenadines,Both,All ages,All causes,Rate,2019,555288.7167159538,586025.7985958563,527206.5109412997
Incidence,Singapore,Both,All ages,All causes,Rate,2019,475511.11335189355,512149.83068287105,447154.09297607216
Incidence,Eritrea,Both,All ages,All causes,Rate,2019,581290.1659415272,618008.1179096727,546269.8059135734
Incidence,Antigua and Barbuda,Both,All ages,All causes,Rate,2019,550702.1840639756,580594.6207879495,522357.4453280308
Incidence,Bermuda,Both,All ages,All causes,Rate,2019,566169.531345279,594616.7198476887,540780.2520588688
Incidence,Tunisia,Both,All ages,All causes,Rate,2019,525211.4941669784,555625.5389711801,497292.1037987314
Incidence,Mexico,Both,All ages,All causes,Rate,2019,518658.91731588886,552622.1171503077,488644.21506316285
Incidence,France,Both,All ages,All causes,Rate,2019,497065.57542993047,526162.6021267611,473110.7004750124
Incidence,Cameroon,Both,All ages,All causes,Rate,2019,618550.3385724371,659678.2260858606,579975.6826373177
Incidence,Armenia,Both,All ages,All causes,Rate,2019,520890.4692110016,550130.4084541886,493698.0876591411
Incidence,Greece,Both,All ages,All causes,Rate,2019,492878.17428073956,522140.2947906333,468238.85478627874
Incidence,Taiwan (Province of China),Both,All ages,All causes,Rate,2019,419872.73205926915,442321.53552329284,399731.7182159962
Incidence,Turkey,Both,All ages,All causes,Rate,2019,583117.8941178914,620595.7886619202,549381.7565284717
Incidence,Senegal,Both,All ages,All causes,Rate,2019,570926.412832761,606504.5223637533,539068.2738762769
Incidence,Egypt,Both,All ages,All causes,Rate,2019,494738.6002346959,526310.8669977072,467103.8574672219
Incidence,Latvia,Both,All ages,All causes,Rate,2019,527407.5669717262,553647.4140632297,504031.4585639089
Incidence,Estonia,Both,All ages,All causes,Rate,2019,526050.5101027996,552695.4992999309,501451.622512783
Incidence,Togo,Both,All ages,All causes,Rate,2019,599615.755578844,636726.2207011556,564267.6776341293
Incidence,Germany,Both,All ages,All causes,Rate,2019,517462.82859602105,544797.3137250334,492852.413058709
Incidence,Barbados,Both,All ages,All causes,Rate,2019,567603.6650127005,595683.1189292045,541966.0823954756
Incidence,Czechia,Both,All ages,All causes,Rate,2019,499397.9858300916,524409.3818257491,476414.47852044785
Incidence,Cook Islands,Both,All ages,All causes,Rate,2019,551109.7658201283,582322.6495973853,521140.028606066
Incidence,Lithuania,Both,All ages,All causes,Rate,2019,531877.5980235515,557486.3495573095,507250.1027229489
Incidence,Bahamas,Both,All ages,All causes,Rate,2019,539013.4821594387,571596.8514666968,509725.2219198678
Incidence,Bulgaria,Both,All ages,All causes,Rate,2019,480715.30161273974,506420.01508957805,459244.70143469004
Incidence,Sierra Leone,Both,All ages,All causes,Rate,2019,545844.1889842836,579379.3621626048,514029.2054279366
Incidence,Cambodia,Both,All ages,All causes,Rate,2019,465351.8599703899,494119.15140123205,437727.6739846414
Incidence,Angola,Both,All ages,All causes,Rate,2019,653341.8449206675,700647.7796182791,606972.0412042481
Incidence,Azerbaijan,Both,All ages,All causes,Rate,2019,445022.5499838239,469401.4194439535,422715.6786092825
Incidence,Ethiopia,Both,All ages,All causes,Rate,2019,523574.49561293225,556281.5307322175,491958.08921233047
Incidence,Iran (Islamic Republic of),Both,All ages,All causes,Rate,2019,555633.5544764289,590241.0008838066,525193.1200039528
Incidence,Fiji,Both,All ages,All causes,Rate,2019,531412.600503578,563206.4510761048,502791.0285966181
Incidence,Cabo Verde,Both,All ages,All causes,Rate,2019,516970.76048218174,544900.3432018118,489313.69675138284
Incidence,Nicaragua,Both,All ages,All causes,Rate,2019,493781.9721393736,526867.3927865437,463940.7380530349
Incidence,Congo,Both,All ages,All causes,Rate,2019,625566.3480418107,670831.8703851548,583681.9990877557
Incidence,Switzerland,Both,All ages,All causes,Rate,2019,498796.968564913,527496.2681704973,473560.19428557536
Incidence,Belize,Both,All ages,All causes,Rate,2019,548327.2228354064,582971.3129663421,515824.99354413187
Incidence,Iceland,Both,All ages,All causes,Rate,2019,496710.68177213194,529848.9978825268,469404.9480009772
Incidence,United Arab Emirates,Both,All ages,All causes,Rate,2019,489906.8336700933,531482.8405073438,454913.19193979807
Incidence,Greenland,Both,All ages,All causes,Rate,2019,529234.6546813811,566534.3836141304,496952.5597783841
Incidence,Guam,Both,All ages,All causes,Rate,2019,554485.0861926959,585308.3153733435,524029.6458476494
Incidence,Central African Republic,Both,All ages,All causes,Rate,2019,717918.7487815429,772100.9402618068,668393.5889824512
Incidence,Iraq,Both,All ages,All causes,Rate,2019,537129.1590105259,575569.6159661389,502569.2573644872
Incidence,Australia,Both,All ages,All causes,Rate,2019,524595.7133936004,557280.5471381984,496597.5997696213
Incidence,Tuvalu,Both,All ages,All causes,Rate,2019,531684.7925128884,561607.45393283,501499.4892982683
Incidence,Botswana,Both,All ages,All causes,Rate,2019,567827.4201821318,601017.4623921594,536500.8998760154
Incidence,Georgia,Both,All ages,All causes,Rate,2019,449007.85550942254,472829.6346743237,428358.09301383846
Incidence,United States Virgin Islands,Both,All ages,All causes,Rate,2019,571068.0098356727,599293.9878583206,544643.5592168061
Incidence,Kenya,Both,All ages,All causes,Rate,2019,645636.8718827635,693470.9455665911,601290.4869612806
Incidence,Croatia,Both,All ages,All causes,Rate,2019,483061.8831549633,508070.2335335001,461453.5179453462
Incidence,Israel,Both,All ages,All causes,Rate,2019,525700.1125101532,561492.218357544,493853.75036143867
Incidence,Côte d'Ivoire,Both,All ages,All causes,Rate,2019,594871.9659206194,632695.8468057732,560445.0561077329
Incidence,Trinidad and Tobago,Both,All ages,All causes,Rate,2019,530656.2277401556,560632.7341079692,503370.32535899954
Incidence,Monaco,Both,All ages,All causes,Rate,2019,487240.0005705055,515015.01854309335,462942.5029725012
Incidence,Cuba,Both,All ages,All causes,Rate,2019,568369.5235425838,596104.842399343,541100.3212490474
Incidence,Kiribati,Both,All ages,All causes,Rate,2019,555114.145749829,589711.5589371702,520992.2152790539
Incidence,North Macedonia,Both,All ages,All causes,Rate,2019,488154.42612812674,515452.38620427885,464894.76568442944
Incidence,Hungary,Both,All ages,All causes,Rate,2019,506751.40457520104,532452.8209375645,483474.78719523805
Incidence,Nauru,Both,All ages,All causes,Rate,2019,529830.9694012394,565099.3348395498,493992.40597548085
Incidence,Marshall Islands,Both,All ages,All causes,Rate,2019,528828.7759402393,561769.0811217915,497911.7406893577
Incidence,Republic of Moldova,Both,All ages,All causes,Rate,2019,512145.8730562947,538870.47142738,488082.0322096937
Incidence,Panama,Both,All ages,All causes,Rate,2019,526357.7608713259,559917.2895609583,495931.3033616211
Incidence,Yemen,Both,All ages,All causes,Rate,2019,642090.7046242751,688233.3926589049,599106.4050647231
Incidence,Lesotho,Both,All ages,All causes,Rate,2019,579012.6379669415,612210.0957314484,548609.6845068581
Incidence,Libya,Both,All ages,All causes,Rate,2019,531999.919720051,565916.0969303878,500629.90891829703
Incidence,Italy,Both,All ages,All causes,Rate,2019,482216.85085153877,510802.1734209303,457955.1919876284
Incidence,Montenegro,Both,All ages,All causes,Rate,2019,473928.1515151177,499772.40635570005,451285.82093042746
Incidence,Madagascar,Both,All ages,All causes,Rate,2019,559238.8173968289,595976.9759072551,525839.2045386864
Incidence,United Kingdom,Both,All ages,All causes,Rate,2019,517093.68500635086,547664.6771699027,491366.92950294324
Incidence,Jordan,Both,All ages,All causes,Rate,2019,455049.3538746038,483368.4307574473,429953.23754512967
Incidence,Gambia,Both,All ages,All causes,Rate,2019,483780.3491968149,513002.60281462915,458493.2595548509
Incidence,Ireland,Both,All ages,All causes,Rate,2019,497060.26092185586,531129.4602442038,468284.96466016804
Incidence,Democratic Republic of the Congo,Both,All ages,All causes,Rate,2019,623870.6546387366,667890.5046042703,584099.8309480527
Incidence,Dominica,Both,All ages,All causes,Rate,2019,547960.1505732469,577750.8833513842,519553.54904971644
Incidence,New Zealand,Both,All ages,All causes,Rate,2019,573263.8451378997,606819.1784381282,542938.1833348299
Incidence,Chad,Both,All ages,All causes,Rate,2019,621420.7167451322,659838.3613213553,582993.5289074371
Incidence,Poland,Both,All ages,All causes,Rate,2019,451299.38310497784,476811.9136422497,430540.56376316695
Incidence,Austria,Both,All ages,All causes,Rate,2019,511974.4512694026,542243.903667827,486405.82504085364
Incidence,Namibia,Both,All ages,All causes,Rate,2019,589835.9011450688,632242.3360971716,555584.1488044129
Incidence,Luxembourg,Both,All ages,All causes,Rate,2019,506980.2921807032,539069.1167156041,480305.99897056154
Incidence,Morocco,Both,All ages,All causes,Rate,2019,548486.0735599393,583651.5002011639,515320.79295999196
Incidence,Venezuela (Bolivarian Republic of),Both,All ages,All causes,Rate,2019,532966.4660613972,567415.1091951503,502470.4248416703
Incidence,Malawi,Both,All ages,All causes,Rate,2019,609638.3457362764,652687.8437121393,570404.8600420395
Incidence,Russian Federation,Both,All ages,All causes,Rate,2019,550482.8956307216,578365.735315835,525370.5573569457
Incidence,Bolivia (Plurinational State of),Both,All ages,All causes,Rate,2019,571284.1609651634,606157.9906313722,538319.2916045571
Incidence,Indonesia,Both,All ages,All causes,Rate,2019,535157.8597458489,572862.7515198317,503422.26909513056
Incidence,Canada,Both,All ages,All causes,Rate,2019,522136.1228688542,556269.8753502496,492587.9425777392
